host,phage,time,N,OD600,sd,se,ci
AH17E146,Negative,2.23777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,2.48777777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,2.73777777777778,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,Negative,2.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,3.23777777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,3.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,3.73777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,3.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,4.23777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,4.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,4.73777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,4.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,5.23777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,5.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,5.73777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,5.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,6.23777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,6.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,6.73777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,6.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,7.23777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,7.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,7.73777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,7.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,8.23777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,8.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,8.73777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,8.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,9.23777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,9.48777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,9.73777777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,9.98777777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,10.2377777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,10.4877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,10.7377777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,10.9877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,11.2377777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,11.4877777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,11.7377777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,11.9877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,12.2377777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,12.4877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,12.7377777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,12.9877777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,13.2377777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,13.4877777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,13.7377777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,13.9877777777778,3,0.08966666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,14.2377777777778,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,Negative,14.4877777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,14.7377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,14.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,15.2377777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,15.4877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,15.7377777777778,3,0.089,0.0010000000000000009,5.773502691896263e-4,0.0024841377117503323
AH17E146,Negative,15.9877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,16.2377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,16.4877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,16.7377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,16.9877777777778,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,Negative,17.2377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,17.4877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,17.7377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,17.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,18.2377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,18.4877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,18.7377777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,18.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,19.2377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,19.4877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,19.7377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,19.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,20.2377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,20.4877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,20.7377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,20.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,21.2375,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,21.4877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,21.7377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,21.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,22.2377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,22.4877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,22.7377777777778,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,Negative,22.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,23.2377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,23.4877777777778,3,0.08866666666666666,0.0011547005383792527,6.666666666666674e-4,0.002868435153166311
AH17E146,Negative,23.7377777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,23.9877777777778,3,0.089,0.0017320508075688787,0.0010000000000000009,0.004302652729749465
AH17E146,Negative,NA,3,0.08933333333333333,0.001527525231651948,8.819171036881976e-4,0.0037945830335967628
AH17E146,øEnA02,0.237777777777778,6,0.10133333333333333,0.013094528119281988,0.005345818719127856,0.013741864495994651
AH17E146,øEnA02,0.487777777777778,6,0.10583333333333333,0.017405937684211868,0.007105944303500027,0.018266411351620507
AH17E146,øEnA02,0.737777777777778,6,0.1115,0.021741665069630708,0.008875997596514622,0.022816478194752066
AH17E146,øEnA02,0.987777777777778,6,0.11750000000000001,0.02738430207253784,0.011179594506659596,0.028738062568598673
AH17E146,øEnA02,1.23777777777778,6,0.1195,0.028268356867706332,0.011540508365463513,0.029665821178269432
AH17E146,øEnA02,1.48777777777778,6,0.11666666666666667,0.02865426088152801,0.011698053019389356,0.030070802603952812
AH17E146,øEnA02,1.73777777777778,6,0.11383333333333333,0.02953246800839148,0.012056579577604549,0.030992424462093993
AH17E146,øEnA02,1.98777777777778,6,0.1105,0.025990382836734053,0.010610529361598004,0.0272752340434096
AH17E146,øEnA02,2.23777777777778,6,0.10416666666666666,0.018967516091113946,0.007743456018543083,0.01990518738631554
AH17E146,øEnA02,2.48777777777778,6,0.09633333333333333,0.00845379599154526,0.00345124776147861,0.008871714805937403
AH17E146,øEnA02,2.73777777777778,6,0.09433333333333332,0.005955389715767278,0.0024312776705080626,0.006249798217196196
AH17E146,øEnA02,2.98777777777778,6,0.09383333333333332,0.005671566509057852,0.002315407331574968,0.005951944028645759
AH17E146,øEnA02,3.23777777777778,6,0.09383333333333332,0.005671566509057852,0.002315407331574968,0.005951944028645759
AH17E146,øEnA02,3.48777777777778,6,0.0935,0.005890670590009256,0.0024048561980570342,0.006181879660042818
AH17E146,øEnA02,3.73777777777778,6,0.0935,0.005822370651203854,0.0023769728648009424,0.006110203270057714
AH17E146,øEnA02,3.98777777777778,6,0.09333333333333332,0.005955389715767278,0.0024312776705080626,0.006249798217196196
AH17E146,øEnA02,4.23777777777778,6,0.0935,0.006348228099241552,0.0025916532689900223,0.006662056817533225
AH17E146,øEnA02,4.48777777777778,6,0.094,0.006542170893518451,0.002670830083201351,0.006865587297948418
AH17E146,øEnA02,4.73777777777778,6,0.094,0.006542170893518451,0.002670830083201351,0.006865587297948418
AH17E146,øEnA02,4.98777777777778,6,0.09366666666666666,0.006742897497861485,0.002752776376275011,0.007076236950421298
AH17E146,øEnA02,5.23777777777778,6,0.09366666666666666,0.006742897497861485,0.002752776376275011,0.007076236950421298
AH17E146,øEnA02,5.48777777777778,6,0.09333333333333332,0.0063456021516217565,0.002590581230363393,0.006659301054512511
AH17E146,øEnA02,5.73777777777778,6,0.09333333333333332,0.0063456021516217565,0.002590581230363393,0.006659301054512511
