Phage,Host,Time,N,OD600,sd,se,ci
øEnA02,CPO093,20.9877777777778,4,1.34925,0.03815210784915203,0.019076053924576016,0.06070851733165972
øEnA02,CPO093,21.2377777777778,4,1.351,0.038061353978368496,0.019030676989184248,0.06056410767127709
øEnA02,CPO093,21.4877777777778,4,1.353,0.03839270764090491,0.019196353820452455,0.061091365290817705
øEnA02,CPO093,21.7377777777778,4,1.3547500000000001,0.038221939598438295,0.019110969799219148,0.0608196352279135
øEnA02,CPO093,21.9877777777778,4,1.35625,0.0394915602798033,0.01974578013990165,0.06283988505117442
øEnA02,CPO093,22.2377777777778,4,1.358,0.038987177379235766,0.019493588689617883,0.062037299301994704
øEnA02,CPO093,22.4877777777778,4,1.3605,0.03944194045260285,0.019720970226301426,0.06276092883330298
øEnA02,CPO093,22.7377777777778,4,1.36175,0.04070524126776143,0.020352620633880714,0.06477112233913464
øEnA02,CPO093,22.9877777777778,4,1.363,0.03928528138289621,0.019642640691448107,0.06251164929451444
øEnA02,CPO093,23.2377777777778,4,1.36375,0.03912693019732909,0.019563465098664544,0.062259677221791744
øEnA02,CPO093,23.4877777777778,4,1.366,0.03945461527713413,0.019727307638567063,0.06278109730755281
øEnA02,CPO093,23.7377777777778,4,1.367,0.03881580434135907,0.019407902170679534,0.061764606556386735
øEnA02,CPO093,23.9877777777778,4,1.36825,0.038508657035355866,0.019254328517677933,0.06127586665180287
øEnA02,CPO093,NA,4,1.3695,0.03845776904605879,0.019228884523029396,0.061194892505041974
øEnA02,CPO165,0.237777777777778,1,0.202,NA,NA,NA
øEnA02,CPO165,0.487777777777778,1,0.23,NA,NA,NA
øEnA02,CPO165,0.737777777777778,1,0.271,NA,NA,NA
øEnA02,CPO165,0.987777777777778,1,0.306,NA,NA,NA
øEnA02,CPO165,1.23777777777778,1,0.289,NA,NA,NA
øEnA02,CPO165,1.48777777777778,1,0.294,NA,NA,NA
øEnA02,CPO165,1.73777777777778,1,0.293,NA,NA,NA
øEnA02,CPO165,1.98777777777778,1,0.31,NA,NA,NA
øEnA02,CPO165,2.23777777777778,1,0.323,NA,NA,NA
øEnA02,CPO165,2.48777777777778,1,0.328,NA,NA,NA
øEnA02,CPO165,2.73777777777778,1,0.334,NA,NA,NA
øEnA02,CPO165,2.98777777777778,1,0.345,NA,NA,NA
øEnA02,CPO165,3.23777777777778,1,0.355,NA,NA,NA
øEnA02,CPO165,3.48777777777778,1,0.366,NA,NA,NA
øEnA02,CPO165,3.73777777777778,1,0.377,NA,NA,NA
øEnA02,CPO165,3.98777777777778,1,0.389,NA,NA,NA
øEnA02,CPO165,4.23777777777778,1,0.404,NA,NA,NA
øEnA02,CPO165,4.48777777777778,1,0.428,NA,NA,NA
øEnA02,CPO165,4.73777777777778,1,0.465,NA,NA,NA
øEnA02,CPO165,4.98777777777778,1,0.515,NA,NA,NA
øEnA02,CPO165,5.23777777777778,1,0.587,NA,NA,NA
øEnA02,CPO165,5.48777777777778,1,0.665,NA,NA,NA
øEnA02,CPO165,5.73777777777778,1,0.732,NA,NA,NA
øEnA02,CPO165,5.98777777777778,1,0.786,NA,NA,NA
øEnA02,CPO165,6.23777777777778,1,0.831,NA,NA,NA
øEnA02,CPO165,6.48777777777778,1,0.873,NA,NA,NA
øEnA02,CPO165,6.73777777777778,1,0.909,NA,NA,NA
øEnA02,CPO165,6.98777777777778,1,0.945,NA,NA,NA
øEnA02,CPO165,7.23777777777778,1,0.976,NA,NA,NA
øEnA02,CPO165,7.48777777777778,1,1.004,NA,NA,NA
øEnA02,CPO165,7.73777777777778,1,1.028,NA,NA,NA
øEnA02,CPO165,7.98777777777778,1,1.047,NA,NA,NA
øEnA02,CPO165,8.23777777777778,1,1.066,NA,NA,NA
øEnA02,CPO165,8.48777777777778,1,1.085,NA,NA,NA
øEnA02,CPO165,8.73777777777778,1,1.1,NA,NA,NA
øEnA02,CPO165,8.98777777777778,1,1.115,NA,NA,NA
øEnA02,CPO165,9.23777777777778,1,1.13,NA,NA,NA
øEnA02,CPO165,9.48777777777778,1,1.147,NA,NA,NA
øEnA02,CPO165,9.73777777777778,1,1.161,NA,NA,NA
øEnA02,CPO165,9.98777777777778,1,1.175,NA,NA,NA
øEnA02,CPO165,10.2377777777778,1,1.188,NA,NA,NA
øEnA02,CPO165,10.4877777777778,1,1.2,NA,NA,NA
øEnA02,CPO165,10.7377777777778,1,1.213,NA,NA,NA
øEnA02,CPO165,10.9877777777778,1,1.224,NA,NA,NA
øEnA02,CPO165,11.2377777777778,1,1.236,NA,NA,NA
øEnA02,CPO165,11.4877777777778,1,1.246,NA,NA,NA
øEnA02,CPO165,11.7377777777778,1,1.256,NA,NA,NA
øEnA02,CPO165,11.9877777777778,1,1.266,NA,NA,NA
øEnA02,CPO165,12.2377777777778,1,1.276,NA,NA,NA
øEnA02,CPO165,12.4877777777778,1,1.286,NA,NA,NA
øEnA02,CPO165,12.7377777777778,1,1.295,NA,NA,NA
øEnA02,CPO165,12.9877777777778,1,1.305,NA,NA,NA
øEnA02,CPO165,13.2377777777778,1,1.314,NA,NA,NA
øEnA02,CPO165,13.4877777777778,1,1.322,NA,NA,NA
øEnA02,CPO165,13.7377777777778,1,1.332,NA,NA,NA
øEnA02,CPO165,13.9877777777778,1,1.34,NA,NA,NA
øEnA02,CPO165,14.2377777777778,1,1.348,NA,NA,NA
øEnA02,CPO165,14.4877777777778,1,1.356,NA,NA,NA
øEnA02,CPO165,14.7377777777778,1,1.363,NA,NA,NA
øEnA02,CPO165,14.9877777777778,1,1.371,NA,NA,NA
øEnA02,CPO165,15.2377777777778,1,1.378,NA,NA,NA
øEnA02,CPO165,15.4877777777778,1,1.385,NA,NA,NA
øEnA02,CPO165,15.7377777777778,1,1.391,NA,NA,NA
øEnA02,CPO165,15.9877777777778,1,1.397,NA,NA,NA
øEnA02,CPO165,16.2377777777778,1,1.402,NA,NA,NA
øEnA02,CPO165,16.4877777777778,1,1.408,NA,NA,NA
øEnA02,CPO165,16.7377777777778,1,1.412,NA,NA,NA
øEnA02,CPO165,16.9877777777778,1,1.417,NA,NA,NA
øEnA02,CPO165,17.2377777777778,1,1.422,NA,NA,NA
øEnA02,CPO165,17.4877777777778,1,1.427,NA,NA,NA
øEnA02,CPO165,17.7377777777778,1,1.431,NA,NA,NA
øEnA02,CPO165,17.9877777777778,1,1.434,NA,NA,NA
øEnA02,CPO165,18.2377777777778,1,1.438,NA,NA,NA
øEnA02,CPO165,18.4877777777778,1,1.443,NA,NA,NA
øEnA02,CPO165,18.7377777777778,1,1.445,NA,NA,NA
øEnA02,CPO165,18.9877777777778,1,1.45,NA,NA,NA
øEnA02,CPO165,19.2377777777778,1,1.452,NA,NA,NA
øEnA02,CPO165,19.4877777777778,1,1.455,NA,NA,NA
øEnA02,CPO165,19.7377777777778,1,1.458,NA,NA,NA
øEnA02,CPO165,19.9877777777778,1,1.461,NA,NA,NA
øEnA02,CPO165,20.2377777777778,1,1.463,NA,NA,NA
øEnA02,CPO165,20.4877777777778,1,1.466,NA,NA,NA
øEnA02,CPO165,20.7377777777778,1,1.469,NA,NA,NA
øEnA02,CPO165,20.9877777777778,1,1.471,NA,NA,NA
øEnA02,CPO165,21.2377777777778,1,1.473,NA,NA,NA
øEnA02,CPO165,21.4877777777778,1,1.476,NA,NA,NA
øEnA02,CPO165,21.7377777777778,1,1.478,NA,NA,NA
øEnA02,CPO165,21.9877777777778,1,1.48,NA,NA,NA
øEnA02,CPO165,22.2377777777778,1,1.482,NA,NA,NA
øEnA02,CPO165,22.4877777777778,1,1.484,NA,NA,NA
