phage,combination,time,N,OD600,sd,se,ci
APO57,EnC07_R2,3.98777777777778,6,1.034,0.01986957473123167,0.0081117199162693,0.020851839872531183
APO57,EnC07_R2,4.23777777777778,6,1.0718333333333334,0.018988593067067055,0.007752060657944087,0.01992730631606196
APO57,EnC07_R2,4.48777777777778,6,1.1081666666666667,0.018486932321687858,0.007547258516250203,0.01940084565072425
APO57,EnC07_R2,4.73777777777778,6,1.1413333333333333,0.01791833325582116,0.0073151289196507745,0.01880413752619217
APO57,EnC07_R2,4.98777777777778,6,1.1716666666666666,0.01753472744774404,0.007158522504291281,0.018401567919524943
APO57,EnC07_R2,5.23777777777778,6,1.1993333333333334,0.018107088851239118,0.007392188068795644,0.019002224375253562
APO57,EnC07_R2,5.48777777777778,6,1.225,0.016370705543744882,0.006683312551921133,0.017180001847848642
APO57,EnC07_R2,5.73777777777778,6,1.2483333333333333,0.016329931618554488,0.006666666666666654,0.017137212237575392
APO57,EnC07_R2,5.98777777777778,6,1.2693333333333334,0.016990193249832853,0.006936217348894928,0.01783011432509477
APO57,EnC07_R2,6.23777777777778,6,1.2896666666666667,0.017806365902863722,0.007269418439218136,0.018686634995493823
APO57,EnC07_R2,6.48777777777778,6,1.3085,0.01727136358253163,0.007051004656548359,0.018125184493110274
APO57,EnC07_R2,6.73777777777778,6,1.3266666666666667,0.01856520042085908,0.00757921133393471,0.01948298298346144
APO57,EnC07_R2,6.98777777777778,6,1.3435000000000001,0.019086644545335856,0.00779209000632478,0.020030205031901727
APO57,EnC07_R2,7.23777777777778,6,1.359,0.019657059800488968,0.008024961059095547,0.020628819130199767
APO57,EnC07_R2,7.48777777777778,6,1.3753333333333333,0.02026491220476087,0.008273115763993899,0.02126672110703916
APO57,EnC07_R2,7.73777777777778,6,1.391,0.018242806801586166,0.007447594690010086,0.01914465162932139
APO57,EnC07_R2,7.98777777777778,6,1.4048333333333334,0.020759736671419168,0.008475127006586841,0.0217860075378429
APO57,EnC07_R2,8.23777777777778,6,1.4183333333333334,0.020953917692562125,0.008554401076508981,0.021989788022021714
APO57,EnC07_R2,8.48777777777778,6,1.4306666666666668,0.020588022407862935,0.008405024952041748,0.021605804469788496
APO57,EnC07_R2,8.73777777777778,6,1.4448333333333334,0.024465622139374844,0.00998804841353462,0.025675095825288197
APO57,EnC07_R2,8.98777777777778,6,1.4541666666666666,0.021301799610987496,0.008696423274989429,0.02235486770569269
APO57,EnC07_R2,9.23777777777778,6,1.4648333333333334,0.02164640077857444,0.00883710611254865,0.022716504452508196
APO57,EnC07_R2,9.48777777777778,6,1.476,0.021099763031844684,0.008613942186943209,0.022142843318977555
APO57,EnC07_R2,9.73777777777778,6,1.4865,0.02113527856452333,0.00862844134244418,0.022180114584740417
